Team/Country,Name,Discipline,Event,Total Gold,Total Silver,Total Bronze,Total Medals
Poland,Poland,Swimming,Men's 4 x 200m Freestyle Relay,4,5,5,14
Poland,Poland,Swimming,Mixed 4 x 100m Medley Relay,4,5,5,14
Poland,Poland,Swimming,Women's 4 x 100m Freestyle Relay,4,5,5,14
Poland,Poland,Swimming,Women's 4 x 200m Freestyle Relay,4,5,5,14
Republic of Korea,Republic of Korea,Swimming,Men's 4 x 200m Freestyle Relay,6,4,10,20
Republic of Korea,Republic of Korea,Swimming,Women's 4 x 200m Freestyle Relay,6,4,10,20
ROC,ROC,Swimming,Men's 4 x 100m Freestyle Relay,20,28,23,71
ROC,ROC,Swimming,Men's 4 x 100m Medley Relay,20,28,23,71
ROC,ROC,Swimming,Men's 4 x 200m Freestyle Relay,20,28,23,71
ROC,ROC,Swimming,Mixed 4 x 100m Medley Relay,20,28,23,71
ROC,ROC,Swimming,Women's 4 x 100m Freestyle Relay,20,28,23,71
ROC,ROC,Swimming,Women's 4 x 100m Medley Relay,20,28,23,71
ROC,ROC,Swimming,Women's 4 x 200m Freestyle Relay,20,28,23,71
Serbia,Serbia,Swimming,Men's 4 x 100m Freestyle Relay,3,1,5,9
South Africa,South Africa,Swimming,Women's 4 x 100m Medley Relay,1,2,0,3
South Africa,South Africa,Swimming,Women's 4 x 200m Freestyle Relay,1,2,0,3
Spain,Spain,Swimming,Women's 4 x 100m Medley Relay,3,8,6,17
Sweden,Sweden,Swimming,Women's 4 x 100m Freestyle Relay,3,6,0,9
Sweden,Sweden,Swimming,Women's 4 x 100m Medley Relay,3,6,0,9
Switzerland,Switzerland,Swimming,Men's 4 x 100m Freestyle Relay,3,4,6,13
Switzerland,Switzerland,Swimming,Men's 4 x 200m Freestyle Relay,3,4,6,13
Turkey,Turkey,Swimming,Women's 4 x 200m Freestyle Relay,2,2,9,13
United States of America,United States,Swimming,Men's 4 x 100m Freestyle Relay,39,41,33,113
United States of America,United States,Swimming,Men's 4 x 100m Medley Relay,39,41,33,113
United States of America,United States,Swimming,Men's 4 x 200m Freestyle Relay,39,41,33,113
United States of America,United States,Swimming,Mixed 4 x 100m Medley Relay,39,41,33,113
United States of America,United States,Swimming,Women's 4 x 100m Freestyle Relay,39,41,33,113
United States of America,United States,Swimming,Women's 4 x 100m Medley Relay,39,41,33,113
United States of America,United States,Swimming,Women's 4 x 200m Freestyle Relay,39,41,33,113
Australia,Australia,Table Tennis,Men's Team,17,7,22,46
